trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-52.35968970267112,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.002, 'e': 0.995}",30,0,-118.60453806634168,"{0: 15, 1: 5, 2: 9, 3: 1, 4: 0}",0
3,False,"{'a': 0.002, 'e': 0.990025}",20,0,-128.3775615513624,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.985074875}",30,0,-127.19029495947858,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.002, 'e': 0.980149500625}",20,0,-99.14349753561967,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.002, 'e': 0.975248753121875}",20,0,-138.40302003602466,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9703725093562656}",20,0,-66.58637859222016,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.9655206468094842}",30,0,-197.21848226020415,"{0: 17, 1: 5, 2: 3, 3: 2, 4: 3}",0
9,False,"{'a': 0.002, 'e': 0.9606930435754368}",25,0,-158.62882561879866,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9558895783575596}",20,0,-130.9064104917519,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9511101304657719}",20,0,-133.23115943862481,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.946354579813443}",25,0,-81.82772545590268,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9416228069143757}",25,0,-153.17939450964553,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.002, 'e': 0.9369146928798039}",25,0,-91.2183477704456,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9322301194154049}",20,0,-66.1834704190505,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.002, 'e': 0.9275689688183278}",20,0,-83.38690228128392,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.002, 'e': 0.9229311239742362}",25,0,-178.3230976281906,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
18,False,"{'a': 0.002, 'e': 0.918316468354365}",20,9,-27.359452964111103,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.002, 'e': 0.9137248860125932}",25,0,-58.48477794094608,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.002, 'e': 0.9091562615825302}",35,9,-119.32098847816158,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 1}",1
21,False,"{'a': 0.002, 'e': 0.9046104802746175}",25,0,-101.98225743809668,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.002, 'e': 0.9000874278732445}",20,0,-90.40712817027791,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.002, 'e': 0.8955869907338783}",20,0,-11.347721113889657,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.002, 'e': 0.8911090557802088}",20,0,-26.442605420119516,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.002, 'e': 0.8866535105013078}",25,0,-90.9082396615372,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.002, 'e': 0.8822202429488012}",35,0,-121.37800560716437,"{0: 23, 1: 2, 2: 8, 3: 1, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.8778091417340572}",30,0,-92.79174284792663,"{0: 15, 1: 8, 2: 7, 3: 0, 4: 0}",0
28,False,"{'a': 0.002, 'e': 0.873420096025387}",25,0,-94.86355474584653,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.002, 'e': 0.86905299554526}",20,0,-104.02040970221432,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
30,False,"{'a': 0.002, 'e': 0.8647077305675337}",35,0,-111.76154225654311,"{0: 24, 1: 4, 2: 4, 3: 2, 4: 1}",0
31,False,"{'a': 0.002, 'e': 0.8603841919146961}",20,0,-15.199035062935373,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.002, 'e': 0.8560822709551226}",25,0,-148.67557512568982,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
33,False,"{'a': 0.002, 'e': 0.8518018596003469}",20,0,-80.52931636947349,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
34,False,"{'a': 0.002, 'e': 0.8475428503023452}",20,0,-48.008579547505676,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.002, 'e': 0.8433051360508335}",30,1,-96.13952888553621,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 1}",1
36,False,"{'a': 0.002, 'e': 0.8390886103705792}",25,0,-100.60203256970648,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.002, 'e': 0.8348931673187264}",20,0,-148.7859662729764,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
38,False,"{'a': 0.002, 'e': 0.8307187014821328}",25,0,-145.09665531671806,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
39,False,"{'a': 0.002, 'e': 0.826565107974722}",30,0,-88.57736917173645,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
40,False,"{'a': 0.002, 'e': 0.8224322824348484}",20,0,-64.12842212783605,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.002, 'e': 0.8183201210226743}",20,0,-57.952080064159134,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
42,False,"{'a': 0.002, 'e': 0.8142285204175609}",20,0,-53.986068172534225,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.810157377815473}",25,0,-108.40621392869755,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 0}",0
44,False,"{'a': 0.002, 'e': 0.8061065909263957}",20,0,-26.000348322446253,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.002, 'e': 0.8020760579717637}",20,0,-98.01404060356465,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
46,False,"{'a': 0.002, 'e': 0.7980656776819048}",25,0,-62.540543574680704,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.002, 'e': 0.7940753492934953}",20,9,-21.984707497081576,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.002, 'e': 0.7901049725470278}",25,0,-83.38985317139739,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
49,False,"{'a': 0.002, 'e': 0.7861544476842928}",20,0,-109.39372110828859,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
50,False,"{'a': 0.002, 'e': 0.7822236754458712}",25,3,-78.68165489045957,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
51,False,"{'a': 0.002, 'e': 0.7783125570686419}",25,0,-80.01249827628665,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.002, 'e': 0.7744209942832987}",20,0,-22.047177709795694,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.002, 'e': 0.7705488893118821}",25,0,-101.84385813658483,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
54,False,"{'a': 0.002, 'e': 0.7666961448653228}",25,0,-116.52412616418519,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.002, 'e': 0.7628626641409961}",20,0,-73.49222865867812,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.002, 'e': 0.7590483508202912}",25,0,-135.3110761572247,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
57,False,"{'a': 0.002, 'e': 0.7552531090661897}",25,0,-172.9570154387565,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
58,False,"{'a': 0.002, 'e': 0.7514768435208588}",20,13,0.1859467473810461,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.002, 'e': 0.7477194593032545}",30,0,-92.94324419292843,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.7439808620067382}",20,4,-94.13751439095499,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 1}",1
61,False,"{'a': 0.002, 'e': 0.7402609576967045}",25,0,-53.77297119370438,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
62,False,"{'a': 0.002, 'e': 0.736559652908221}",25,0,-65.04175428495019,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.002, 'e': 0.7328768546436798}",20,12,-32.26396976669074,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
64,False,"{'a': 0.002, 'e': 0.7292124703704614}",20,1,-94.60707981883888,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 1}",1
65,False,"{'a': 0.002, 'e': 0.7255664080186092}",25,0,-67.31446453508559,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
66,False,"{'a': 0.002, 'e': 0.7219385759785161}",20,2,-15.40430879088557,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
67,False,"{'a': 0.002, 'e': 0.7183288830986235}",30,0,-74.4066400374648,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.002, 'e': 0.7147372386831303}",20,0,-58.748961162878025,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.002, 'e': 0.7111635524897147}",20,0,-41.964010788873,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.002, 'e': 0.7076077347272661}",25,0,-93.82294399204845,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
71,False,"{'a': 0.002, 'e': 0.7040696960536298}",20,0,10.229925511697918,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.002, 'e': 0.7005493475733616}",25,0,-53.23301341214453,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",1
73,False,"{'a': 0.002, 'e': 0.6970466008354949}",25,0,-90.34650408437231,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.002, 'e': 0.6935613678313174}",25,4,-88.60739465755192,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 1}",1
75,False,"{'a': 0.002, 'e': 0.6900935609921608}",25,0,-22.056018002827393,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
76,False,"{'a': 0.002, 'e': 0.6866430931872}",20,0,-66.74519449281127,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
77,False,"{'a': 0.002, 'e': 0.683209877721264}",25,0,-85.25384770535244,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
78,False,"{'a': 0.002, 'e': 0.6797938283326577}",20,2,-46.90791680895771,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 0}",1
79,False,"{'a': 0.002, 'e': 0.6763948591909944}",25,6,-42.20419040081163,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.002, 'e': 0.6730128848950394}",25,0,-60.90061177251737,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.002, 'e': 0.6696478204705641}",20,0,-30.569654560551207,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
