trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",25,0,-123.38724922515134,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.995}",30,0,-204.65982849769904,"{0: 19, 1: 3, 2: 2, 3: 3, 4: 3}",0
3,False,"{'a': 0.002, 'e': 0.990025}",20,0,-173.31035768661954,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.002, 'e': 0.985074875}",20,0,-154.24617973470777,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.002, 'e': 0.980149500625}",35,0,-170.1955953394251,"{0: 17, 1: 6, 2: 8, 3: 4, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.975248753121875}",20,0,-135.32144368984262,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9703725093562656}",25,15,-2.734431177038365,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.002, 'e': 0.9655206468094842}",20,0,-97.67145541005752,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9606930435754368}",20,0,-127.06658772769546,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9558895783575596}",20,2,-54.24584506133688,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.002, 'e': 0.9511101304657719}",25,0,-154.6093120425114,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.002, 'e': 0.946354579813443}",30,0,-160.86366625326204,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
13,False,"{'a': 0.002, 'e': 0.9416228069143757}",20,0,-115.6393322339352,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.002, 'e': 0.9369146928798039}",20,4,-117.15903353286144,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 2}",1
15,False,"{'a': 0.002, 'e': 0.9322301194154049}",25,20,9.318942432909651,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.002, 'e': 0.9275689688183278}",20,0,-46.299744200100776,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.002, 'e': 0.9229311239742362}",25,0,-81.64682926004878,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.918316468354365}",20,0,-136.40486230319857,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.002, 'e': 0.9137248860125932}",20,12,-12.354913718535773,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.002, 'e': 0.9091562615825302}",25,11,-36.21796815941837,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.002, 'e': 0.9046104802746175}",25,0,-153.46947164096892,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
22,False,"{'a': 0.002, 'e': 0.9000874278732445}",20,7,-36.33167230865826,"{0: 9, 1: 2, 2: 0, 3: 2, 4: 0}",1
23,False,"{'a': 0.002, 'e': 0.8955869907338783}",25,0,-73.78930534024374,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
24,False,"{'a': 0.002, 'e': 0.8911090557802088}",25,0,-143.85555480870042,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.002, 'e': 0.8866535105013078}",20,3,-20.561424735281093,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
