trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.28550266822954,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-166.32214335658728,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9}",20,0,-65.17965194181636,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.85}",30,0,-144.35639246536041,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8}",25,18,-3.6876813708167004,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.75}",30,0,-167.96170052690778,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.7}",30,0,-104.38396281139529,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",20,0,-101.51526798779442,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6}",20,0,-66.24882170709674,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.55}",20,0,-72.40589575186176,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5}",25,0,-223.66696719764917,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",20,0,-150.16463858397236,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",25,0,-209.9499005729569,"{0: 10, 1: 1, 2: 11, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.35}",25,0,-269.1320413253149,"{0: 11, 1: 1, 2: 6, 3: 3, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,0,-85.40736664648608,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.25}",20,0,-140.93080747553105,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",25,0,-184.8391161969975,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",20,0,-103.63648669193009,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",20,0,-183.5817898883197,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",20,0,-115.73624603224654,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",35,0,-199.17272219614568,"{0: 18, 1: 4, 2: 10, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-90.06213672082227,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-117.68798097999098,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-211.53663401110623,"{0: 11, 1: 8, 2: 7, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-221.1004259200072,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",20,14,8.47383679435939,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,9,-134.92034043300774,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",20,0,-129.22667515755847,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-89.55280611140631,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-166.166533300557,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
